Goal,Penalty_Number,Team
1,1,FRA
1,2,GER
1,3,FRA
1,4,GER
1,5,FRA
0,6,GER
0,7,FRA
1,8,GER
1,9,FRA
1,10,GER
0,1,BRA
1,2,FRA
1,3,BRA
1,4,FRA
1,5,BRA
1,6,FRA
1,7,BRA
0,8,FRA
0,9,BRA
1,10,FRA
1,1,GER
1,2,MEX
1,3,GER
0,4,MEX
1,5,GER
0,6,MEX
1,7,GER
1,1,SPA
1,2,BEL
0,3,SPA
1,4,BEL
1,5,SPA
1,6,BEL
1,7,SPA
1,8,BEL
1,9,SPA
1,10,BEL
1,1,ROM
1,2,IRE
1,3,ROM
1,4,IRE
1,5,ROM
1,6,IRE
1,7,ROM
1,8,IRE
0,9,ROM
1,10,IRE
1,1,ARG
0,2,YUG
1,3,ARG
1,4,YUG
0,5,ARG
1,6,YUG
0,7,ARG
0,8,YUG
1,9,ARG
0,10,YUG
1,1,ITA
1,2,ARG
1,3,ITA
1,4,ARG
1,5,ITA
1,6,ARG
0,7,ITA
1,8,ARG
0,9,ITA
1,1,ENG
1,2,GER
1,3,ENG
1,4,GER
0,5,ENG
1,6,GER
0,7,ENG
1,8,GER
0,9,ENG
0,1,MEX
0,2,BUL
0,3,MEX
1,4,BUL
0,5,MEX
1,6,BUL
1,7,MEX
1,8,BUL
0,1,SWE
1,2,RUM
1,3,SWE
1,4,RUM
1,5,SWE
1,6,RUM
1,7,SWE
0,8,RUM
1,9,SWE
1,10,RUM
0,1,ITA
0,2,BRA
1,3,ITA
1,4,BRA
1,5,ITA
1,6,BRA
0,7,ITA
1,8,BRA
0,9,ITA
1,1,ARG
1,2,ENG
0,3,ARG
0,4,ENG
1,5,ARG
1,6,ENG
1,7,ARG
1,8,ENG
1,9,ARG
0,10,ENG
1,1,FRA
1,2,ITA
0,3,FRA
0,4,ITA
1,5,FRA
1,6,ITA
1,7,FRA
1,8,ITA
1,9,FRA
0,10,ITA
1,1,BRA
1,2,HOL
1,3,BRA
1,4,HOL
1,5,BRA
0,6,HOL
1,7,BRA
0,8,HOL
1,1,IRE
1,2,SPA
0,3,IRE
1,4,SPA
0,5,IRE
0,6,SPA
0,7,IRE
0,8,SPA
1,9,IRE
1,10,SPA
1,1,KOR
1,2,SPA
1,3,KOR
1,4,SPA
1,5,KOR
1,6,SPA
1,7,KOR
0,8,SPA
1,9,KOR
0,1,UKR
0,2,SWZ
1,3,UKR
0,4,SWZ
1,5,UKR
0,6,SWZ
1,7,UKR
1,1,GER
1,2,ARG
1,3,GER
0,4,ARG
1,5,GER
1,6,ARG
1,7,GER
0,8,ARG
1,1,POR
0,2,ENG
0,3,POR
1,4,ENG
0,5,POR
0,6,ENG
1,7,POR
0,8,ENG
1,9,POR
1,1,ITA
1,2,FRA
1,3,ITA
0,4,FRA
1,5,ITA
1,6,FRA
1,7,ITA
1,8,FRA
1,9,ITA
1,1,PAR
1,2,JAP
1,3,PAR
1,4,JAP
1,5,PAR
0,6,JAP
1,7,PAR
1,8,JAP
1,9,PAR
1,1,URU
1,2,GHA
1,3,URU
1,4,GHA
1,5,URU
0,6,GHA
0,7,URU
0,8,GHA
1,9,URU
1,1,BRA
0,2,CHI
0,3,BRA
0,4,CHI
1,5,BRA
1,6,CHI
0,7,BRA
1,8,CHI
1,9,BRA
0,10,CHI
1,1,CRA
1,2,GRE
1,3,CRA
1,4,GRE
1,5,CRA
1,6,GRE
1,7,CRA
0,8,GRE
1,9,CRA
1,1,CRA
1,2,HOL
0,3,CRA
1,4,HOL
1,5,CRA
1,6,HOL
1,7,CRA
1,8,HOL
0,9,CRA
0,1,HOL
1,2,ARG
1,3,HOL
1,4,ARG
0,5,HOL
1,6,ARG
1,7,HOL
1,8,ARG
1,1,SPA
1,2,RUS
1,3,SPA
1,4,RUS
0,5,SPA
1,6,RUS
1,7,SPA
1,8,RUS
0,9,SPA
0,1,DEN
0,2,CRO
1,3,DEN
1,4,CRO
1,5,DEN
1,6,CRO
0,7,DEN
0,8,CRO
0,9,DEN
1,10,CRO
1,1,COL
1,2,ENG
1,3,COL
1,4,ENG
1,5,COL
0,6,ENG
0,7,COL
1,8,ENG
0,9,COL
1,10,ENG
0,1,RUS
1,2,CRO
1,3,RUS
0,4,CRO
0,5,RUS
1,6,CRO
1,7,RUS
1,8,CRO
1,9,RUS
1,10,CRO
